band_name,percentile_0.1,percentile_5,percentile_90,percentile_95,percentile_99,percentile_99.9,ratio,final_cutoff
OLINDEX3,0.028215329,0.078762093,0.333245701,0.409592515,0.508847864,0.611530105,1.201793597,0.611530105
MIN2345_2537,-0.025142659,-0.006917933,0.013954043,0.016952176,0.026632616,0.031743169,1.191890763,0.031743169
R1080,0.117066251,0.186290905,0.414293438,0.445778161,0.489947859,0.558824753,1.140580049,0.558824753
R2529,0.094790132,0.185800463,0.478305739,0.522007334,0.598221316,0.67725785,1.132119221,0.67725785
R1506,0.111410139,0.192928243,0.443324524,0.481848824,0.542511604,0.6077154,1.120188758,0.6077154
R1330,0.113682069,0.191643864,0.436131519,0.467659914,0.523649077,0.585962085,1.118997647,0.585962085
R770,0.141848756,0.209817132,0.411348319,0.44531427,0.493984478,0.540524603,1.09421374,0.540524603
IRR2,0.891178697,0.973784924,1.05854876,1.072676396,1.10385397,1.154397775,1.045788489,1.154397775
BDI1000VIS,0.001907921,0.006216651,0.244644192,0.250993082,0.262464309,0.270464361,1.030480533,0.270464361
RPEAK1,0,0,0.924423146,0.958135676,0.979600408,1.003986832,1.024894257,1.003986832
